"sample_id,""qfield_project"",""taxon_name"",""collector_fullname"",""observation_subject"",""name_proposition"",""date_created"""
"dbgi_007760,""jbuf"",""Liquidambar formosana var. monticola Rehd. et Wils."",""Simon RÃ©rat"",""Stems"",,""2025-04-14T16:02:36.105Z"""
"dbgi_007710,""jbuf"",""Cercidiphyllum japonicum Sieb. et Zucc. MÂ¢le"",""Simon RÃ©rat"",""Flower"",,""2025-04-14T16:02:34.879Z"""
"dbgi_007750,""jbuf"",""Picea abies H. Karst. 'Clanbrassiliana'"",""Simon RÃ©rat"",""Leaf"",,""2025-04-14T16:02:36.182Z"""
"dbgi_007765,""jbuf"",""Liquidambar formosana var. monticola Rehd. et Wils."",""Simon RÃ©rat"",""bud"",,""2025-04-14T16:02:36.049Z"""
"dbgi_007684,""jbuf"",""Diospyros kaki L. f."",""Simon RÃ©rat"",""bud"",,""2025-04-14T16:02:35.167Z"""
"dbgi_007689,""jbuf"",""Magnolia grandiflora L."",""Simon RÃ©rat"",""Leaf"",,""2025-04-14T16:02:35.238Z"""
"dbgi_007699,""jbuf"",""Laurus nobilis L."",""Simon RÃ©rat"",""bud"",,""2025-04-14T16:02:35.720Z"""
"dbgi_007539,""jbuf"",""Prunus cerasus L. 'Hallauer Aemli'"",""Simon RÃ©rat"",""Leaf"",,""2025-04-28T12:02:30.432Z"""
"dbgi_007544,""jbuf"",""Pyrus pyraster Burgsd."",""Simon RÃ©rat"",""Flower"",,""2025-04-28T12:02:30.521Z"""
"dbgi_007525,""jbuf"",""Betula pendula Roth"",""Simon RÃ©rat"",""bark"",,""2025-04-28T12:02:30.387Z"""
"dbgi_007783,""jbuf"",""Larix kaempferi (Lamb.) CarriÂ¨re"",""Simon RÃ©rat"",""Flower"",,""2025-04-14T16:02:38.037Z"""
"dbgi_007737,""jbuf"",""Picea jezoensis (Siebold et Zucc.) CarriÂ¨re"",""Simon RÃ©rat"",""Fruit"",,""2025-04-14T16:02:37.818Z"""
"dbgi_007772,""jbuf"",""Picea abies (L.) H. Karst. 'Remontii'"",""Simon RÃ©rat"",""bark"",,""2025-04-14T16:02:37.561Z"""
"dbgi_007752,""jbuf"",""Larix kaempferi (Lamb.) CarriÂ¨re"",""Simon RÃ©rat"",""Leaf"",,""2025-04-14T16:02:37.940Z"""
"dbgi_007549,""jbuf"",""Alnus incana Moench"",""Simon RÃ©rat"",""Leaf"",,""2025-04-28T12:02:30.588Z"""
"dbgi_007703,""jbuf"",""Betula pendula Roth"",""Simon RÃ©rat"",""Flower"",,""2025-04-28T12:02:30.320Z"""
"dbgi_007529,""jbuf"",""Betula pendula Roth"",""Simon RÃ©rat"",""Leaf"",,""2025-04-28T12:02:30.297Z"""
"dbgi_007524,""jbuf"",""Alnus incana Moench"",""Simon RÃ©rat"",""Fruit"",,""2025-04-28T12:02:30.610Z"""
"dbgi_007509,""jbuf"",""Cercis siliquastrum L."",""Simon RÃ©rat"",""Flower"",,""2025-04-28T12:02:30.958Z"""
"dbgi_007576,""jbuf"",""Pinus cembra L."",""Simon RÃ©rat"",""bud"",,""2025-04-14T16:02:38.101Z"""
"dbgi_007519,""jbuf"",""Abies alba Mill."",""Simon RÃ©rat"",""bud"",,""2025-04-28T12:02:30.789Z"""
"dbgi_007711,""jbuf"",""Prunus spinosa L."",""Simon RÃ©rat"",""Flower"",,""2025-04-14T16:02:35.464Z"""
"dbgi_007664,""jbuf"",""Pinus nigra subsp. laricio Maire"",""Simon RÃ©rat"",""bud"",,""2025-04-14T16:02:38.199Z"""
"dbgi_007536,""jbuf"",""Ostrya carpinifolia Scop."",""Simon RÃ©rat"",""Leaf"",,""2025-04-28T12:02:30.699Z"""
"dbgi_007499,""jbuf"",""Pyrus pyraster Burgsd."",""Simon RÃ©rat"",""Leaf"",,""2025-04-28T12:02:30.499Z"""
"dbgi_007683,""jbuf"",""Larix decidua L."",""Simon RÃ©rat"",""Leaf"",,""2025-04-14T16:02:37.843Z"""
"dbgi_007579,""jbuf"",""Tsuga canadensis (L.) Carr."",""Simon RÃ©rat"",""bud"",,""2025-04-14T16:02:37.282Z"""
"dbgi_007587,""jbuf"",""Eleutherococcus senticosus (Rupr. et Maxim.) Maxim."",""Simon RÃ©rat"",""bud"",,""2025-04-14T16:02:35.544Z"""
"dbgi_007504,""jbuf"",""Cercis siliquastrum L."",""Simon RÃ©rat"",""Leaf"",,""2025-04-28T12:02:30.981Z"""
"dbgi_007805,""jbuf"",""Prunus cerasus L. 'Hallauer Aemli'"",""Simon RÃ©rat"",""Flower"",,""2025-04-28T12:02:30.409Z"""
"dbgi_007787,""jbuf"",""Ostrya carpinifolia Scop."",""Simon RÃ©rat"",""Flower"",,""2025-04-28T12:02:30.676Z"""
"dbgi_007796,""jbuf"",""Tilia cordata Mill."",""Simon RÃ©rat"",""bud"",,""2025-04-14T16:02:37.211Z"""
"dbgi_007512,""jbuf"",""Picea abies (L.) H. Karst. 'Remontii'"",""Simon RÃ©rat"",""bud"",,""2025-04-14T16:02:37.492Z"""
"dbgi_007794,""jbuf"",""Sequoiadendron giganteum (Lindl.) J. Buchholz"",""Simon RÃ©rat"",""bark"",,""2025-04-14T16:02:35.924Z"""
"dbgi_007775,""jbuf"",""Betula pendula Roth"",""Simon RÃ©rat"",""Seed"",,""2025-04-28T12:02:30.342Z"""
"dbgi_007768,""jbuf"",""Picea jezoensis (Siebold et Zucc.) CarriÂ¨re"",""Simon RÃ©rat"",""bud"",,""2025-04-14T16:02:37.735Z"""
"dbgi_007797,""jbuf"",""Pseudotsuga menziesii (Mirb.) Franco var. menziesii"",""Simon RÃ©rat"",""bud"",,""2025-04-14T16:02:37.392Z"""
"dbgi_007534,""jbuf"",""Buxus sempervirens L."",""Simon RÃ©rat"",""Leaf"",,""2025-04-28T12:02:30.866Z"""
