is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name
False,False,Abies alba,ICN,1.0,abies alba,[],False,False,Abies alba,887363,species,ott3.7draft2,"['? compacta', 'Abies alba alba', 'Abies alba apennina', 'Abies alba pardei', 'Abies alba pendula', 'Abies alba podolica', 'Abies alba pyramidalis', 'Abies argentea', 'Abies baldensis', 'Abies candicans', 'Abies chlorocarpa', 'Abies duplex', 'Abies excelsa', 'Abies miniata', 'Abies nobilis', 'Abies pardei', 'Abies pectinata', 'Abies picea', 'Abies taxifolia', 'Abies vulgaris', 'Picea excelsa', 'Picea pectinata', 'Picea pectinata pendula', 'Pinus abies', 'Pinus abies leioclada', 'Pinus abies pectinata', 'Pinus baldensis', 'Pinus heterophylla', 'Pinus lucida', 'Pinus pectinata', 'Pinus picea']","['ncbi:45372', 'gbif:2685484', 'irmng:11034791']",Abies alba
False,False,Abies pinsapo,ICN,1.0,abies pinsapo,[],False,False,Abies pinsapo,220887,species,ott3.7draft2,[],"['ncbi:56046', 'gbif:2685464']",Abies pinsapo
False,False,Alnus incana,ICN,1.0,alnus incana,[],False,False,Alnus incana,791133,species,ott3.7draft2,"['Alnus alisoviana', 'Alnus alnus', 'Alnus americana', 'Alnus borealis', 'Alnus canadensis', 'Alnus communis', 'Alnus densiflora', 'Alnus februaria incana', 'Alnus glauca', 'Alnus glutinosa incana', 'Alnus intermedia', 'Alnus kolaensis', 'Alnus languinosa', 'Alnus lanuginosa', 'Alnus lobata', 'Alnus minor', 'Alnus occidentalis', 'Alnus plicata', 'Alnus pubescens', 'Alnus rugosa', 'Alnus tenuifolia', 'Alnus tirolensis', 'Betula alnus', 'Betula alnus incana', 'Betula incana', 'Betula pinnata', 'Betula rugosa', 'Betula-Alnus glauca']","['ncbi:3516', 'gbif:9148577', 'irmng:10690059']",Alnus incana
False,False,Betula pendula,ICN,1.0,betula pendula,[],False,False,Betula pendula,267719,species,ott3.7draft2,"['Betula aetnensis', 'Betula alba pendula', 'Betula brachylepis', 'Betula cajanderi', 'Betula cycoviensis', 'Betula ellipticifolia', 'Betula fontqueri', 'Betula gummifera', 'Betula hippolyti', 'Betula hybrida', 'Betula insularis', 'Betula kossogolica', 'Betula lobulata', 'Betula ludmilae', 'Betula microlepis', 'Betula mongolica', 'Betula montana', 'Betula oxycoviensis', 'Betula oycowiensis', 'Betula palmata', 'Betula parvibracteata', 'Betula pendula purpurea', 'Betula platyphylloides', 'Betula pseudopendula', 'Betula talassica', 'Betula tiulinae', 'Betula transbaicalensis', 'Betula urticifolia', 'Betula uschkanensis', 'Betula verrucosa', 'Betula virgultosa', 'Betula vladimirii']","['ncbi:3505', 'gbif:5331916', 'irmng:10600231']",Betula pendula
False,False,Buxus sempervirens,ICN,1.0,buxus sempervirens,['sibling_higher'],False,False,Buxus sempervirens,1000252,species,ott3.7draft2,"['Buxus angustifolia', 'Buxus arborescens', 'Buxus argentea', 'Buxus aurea', 'Buxus caucasica', 'Buxus colchica', 'Buxus crispa', 'Buxus cucullata', 'Buxus elegantissima', 'Buxus fruticosa', 'Buxus handsworthii', 'Buxus hyrcana', 'Buxus macrophylla', 'Buxus marginata', 'Buxus mucronata', 'Buxus myrtifolia', 'Buxus nana', 'Buxus rosmarinifolia', 'Buxus salicifolia', 'Buxus sempervirens angustifolia', 'Buxus sempervirens hyrcana', 'Buxus sempervirens myrtifolia', 'Buxus sempervirens pendula', 'Buxus sempervirens prostrata', 'Buxus suffruticosa', 'Buxus tenuifolia', 'Buxus variegata', 'Buxus vulgaris']","['ncbi:4002', 'gbif:2984671', 'irmng:10589055']",Buxus sempervirens
False,False,Cercidiphyllum japonicum,ICN,1.0,cercidiphyllum japonicum,[],False,False,Cercidiphyllum japonicum,324758,species,ott3.7draft2,"['Cercidiphyllum japonicum pendulum', 'Cercidiphyllum japonicum piramidale', 'Cercidiphyllum japonicum sinense', 'Cercidiphyllum magnificum pendulum', 'Cercidiphyllum ovale']","['ncbi:13413', 'gbif:8060423', 'irmng:10589815']",Cercidiphyllum japonicum
False,False,Cercis siliquastrum,ICN,1.0,cercis siliquastrum,[],False,False,Cercis siliquastrum,372385,species,ott3.7draft2,"['Cercis siliquastrum alba', 'Siliquastrum orbicularis']","['ncbi:49802', 'gbif:5353590', 'irmng:11307233']",Cercis siliquastrum
False,False,Cornus mas,ICN,1.0,cornus mas,[],False,False,Cornus mas,148277,species,ott3.7draft2,"['Cornus erythrocarpa', 'Cornus flava publ', 'Cornus homerica', 'Cornus mas alba', 'Cornus mas albocarpa', 'Cornus mas andrzejowskii', 'Cornus mas aurea', 'Cornus mas aurea-elegantissima', 'Cornus mas conica', 'Cornus mas elegantissima', 'Cornus mas flava', 'Cornus mas luteocarpa', 'Cornus mas macrocarpa', 'Cornus mas microcarpa', 'Cornus mas nana', 'Cornus mas oblongifolia', 'Cornus mas oxycarpa', 'Cornus mas polonica', 'Cornus mas pyriformis', 'Cornus mas sphaerocarpa', 'Cornus mas variegata', 'Cornus mas xanthocarpa', 'Cornus mascula', 'Cornus mascula aurea-elegantissima', 'Cornus nudiflora', 'Cornus praecox', 'Cornus vernalis', 'Eukrania mascula', 'Macrocarpium mas']","['ncbi:4285', 'gbif:3082263', 'irmng:10591759']",Cornus mas
False,False,Cryptomeria japonica,ICN,1.0,cryptomeria japonica,[],False,False,Cryptomeria japonica,620749,species,ott3.7draft2,"['Cryptomeria elegans', 'Cryptomeria fortunei', 'Cryptomeria generalis', 'Cryptomeria japonica araucarioides', 'Cryptomeria japonica compacta', 'Cryptomeria japonica elegans', 'Cryptomeria japonica fortunei', 'Cryptomeria japonica lobbii', 'Cryptomeria japonica pendula', 'Cryptomeria japonica pungens', 'Cryptomeria japonica radicans', 'Cryptomeria japonica sinensis', 'Cryptomeria japonica spiralis', 'Cryptomeria kawaii', 'Cryptomeria lobbiana', 'Cryptomeria lobbii', 'Cryptomeria mairei', 'Cryptomeria nigricans', 'Cupressus japonica', 'Cupressus mairei', 'Schubertia japonica', 'Taxodium japonicum']","['ncbi:3369', 'gbif:5284237', 'irmng:11165901']",Cryptomeria japonica
False,False,Diospyros kaki,ICN,1.0,diospyros kaki,[],False,False,Diospyros kaki,352883,species,ott3.7draft2,"['Diospyros amara', 'Diospyros argyi', 'Diospyros armata sinensis', 'Diospyros bertii', 'Diospyros chinensis', 'Diospyros chinensis publ', 'Diospyros costata', 'Diospyros kaempferi', 'Diospyros kaki aurantium', 'Diospyros kaki costata', 'Diospyros kaki domestica', 'Diospyros kaki elliptica', 'Diospyros kaki macrantha', 'Diospyros kaki mazelii', 'Diospyros kaki sahuti', 'Diospyros kaki silvestris', 'Diospyros lycopersicon', 'Diospyros mazelii', 'Diospyros roxburghii', 'Diospyros schi-tse', 'Diospyros sinensis', 'Diospyros sphenophylla', 'Diospyros trichocarpa', 'Diospyros wieseneri', 'Embryopteris kaki']","['ncbi:35925', 'gbif:3032984', 'irmng:10205417']",Diospyros kaki
