organism_otol_class,organism_otol_domain,organism_otol_family,organism_otol_forma,organism_otol_genus,organism_otol_infrakingdom,organism_otol_infraorder,organism_otol_infraphylum,organism_otol_infraspecificname,organism_otol_kingdom,organism_otol_no_rank,organism_otol_no_rank_terminal,organism_otol_order,organism_otol_phylum,organism_otol_section,organism_otol_species,organism_otol_species_group,organism_otol_species_subgroup,organism_otol_subclass,organism_otol_subdivision,organism_otol_subfamily,organism_otol_subgenus,organism_otol_subkingdom,organism_otol_suborder,organism_otol_subphylum,organism_otol_subsection,organism_otol_subspecies,organism_otol_subtribe,organism_otol_superclass,organism_otol_superfamily,organism_otol_superorder,organism_otol_tribe,organism_otol_varietas,organism_otol_variety,organism_otol_unique_name,organism_otol_class_ott_id,organism_otol_domain_ott_id,organism_otol_family_ott_id,organism_otol_forma_ott_id,organism_otol_genus_ott_id,organism_otol_infrakingdom_ott_id,organism_otol_infraorder_ott_id,organism_otol_infraphylum_ott_id,organism_otol_infraspecificname_ott_id,organism_otol_kingdom_ott_id,organism_otol_no_rank_ott_id,organism_otol_no_rank_terminal_ott_id,organism_otol_order_ott_id,organism_otol_phylum_ott_id,organism_otol_section_ott_id,organism_otol_species_ott_id,organism_otol_species_group_ott_id,organism_otol_species_subgroup_ott_id,organism_otol_subclass_ott_id,organism_otol_subdivision_ott_id,organism_otol_subfamily_ott_id,organism_otol_subgenus_ott_id,organism_otol_subkingdom_ott_id,organism_otol_suborder_ott_id,organism_otol_subphylum_ott_id,organism_otol_subsection_ott_id,organism_otol_subspecies_ott_id,organism_otol_subtribe_ott_id,organism_otol_superclass_ott_id,organism_otol_superfamily_ott_id,organism_otol_superorder_ott_id,organism_otol_tribe_ott_id,organism_otol_varietas_ott_id,organism_otol_variety_ott_id,ott_id,unique_name,flags,rank
,Eukaryota,Cupressaceae,,Metasequoia,,,,,Archaeplastida,life,,Cupressales,Streptophyta,,Metasequoia glyptostroboides,,,Pinidae,,,,,,,,,,,,,,,,,,304358.0,620757.0,,47957.0,,,,,5268475.0,805080.0,,5435764.0,916750.0,,47954.0,,,7580277.0,,,,,,,,,,,,,,,,47954,Metasequoia glyptostroboides,[],species
Magnoliopsida,Eukaryota,Rosaceae,,Pyrus,,,,,Archaeplastida,life,,Rosales,Streptophyta,,Pyrus pyraster,,,,,Amygdaloideae,,,,,,,,,,,Maleae,,,,99252.0,304358.0,208036.0,,259068.0,,,,,5268475.0,805080.0,,208031.0,916750.0,,52112.0,,,,,731134.0,,,,,,,,,,,901808.0,,,52112,Pyrus pyraster,[],species
,Eukaryota,Pinaceae,,Pinus,,,,,Archaeplastida,life,,Pinales,Streptophyta,,Pinus cembra,,,Pinidae,,,Strobus,,,,,,,,,,,,,,,304358.0,994067.0,,771683.0,,,,,5268475.0,805080.0,,4736806.0,916750.0,,61771.0,,,7580277.0,,,1005718.0,,,,,,,,,,,,,61771,Pinus cembra,[],species
,Eukaryota,Pinaceae,,Pinus,,,,,Archaeplastida,life,,Pinales,Streptophyta,,Pinus nigra,,,Pinidae,,,Pinus subgenus Pinus,,,,,,,,,,,,,,,304358.0,994067.0,,771683.0,,,,,5268475.0,805080.0,,4736806.0,916750.0,,61776.0,,,7580277.0,,,531304.0,,,,,,,,,,,,,61776,Pinus nigra,[],species
,Eukaryota,Pinaceae,,Tsuga,,,,,Archaeplastida,life,,Pinales,Streptophyta,,Tsuga canadensis,,,Pinidae,,,,,,,,,,,,,,,,,,304358.0,994067.0,,1095220.0,,,,,5268475.0,805080.0,,4736806.0,916750.0,,117276.0,,,7580277.0,,,,,,,,,,,,,,,,117276,Tsuga canadensis,[],species
Magnoliopsida,Eukaryota,Cornaceae,,Cornus,,,,,Archaeplastida,life,,Cornales,Streptophyta,,Cornus mas,,,,,,,,,,,,,,,,,,,,99252.0,304358.0,737319.0,,82463.0,,,,,5268475.0,805080.0,,229290.0,916750.0,,148277.0,,,,,,,,,,,,,,,,,,,148277,Cornus mas,[],species
,Eukaryota,Pinaceae,,Larix,,,,,Archaeplastida,life,,Pinales,Streptophyta,,Larix kaempferi,,,Pinidae,,,,,,,,,,,,,,,,,,304358.0,994067.0,,994551.0,,,,,5268475.0,805080.0,,4736806.0,916750.0,,154040.0,,,7580277.0,,,,,,,,,,,,,,,,154040,Larix kaempferi,[],species
Magnoliopsida,Eukaryota,Rosaceae,,Prunus,,,,,Archaeplastida,life,,Rosales,Streptophyta,,Prunus avium,,,,,Amygdaloideae,,,,,,,,,,,Amygdaleae,,,,99252.0,304358.0,208036.0,,731578.0,,,,,5268475.0,805080.0,,208031.0,916750.0,,162547.0,,,,,731134.0,,,,,,,,,,,376842.0,,,162547,Prunus avium,['sibling_higher'],species
Magnoliopsida,Eukaryota,Rosaceae,,Prunus,,,,,Archaeplastida,life,,Rosales,Streptophyta,,Prunus armeniaca,,,,,Amygdaloideae,,,,,,,,,,,Amygdaleae,,,,99252.0,304358.0,208036.0,,731578.0,,,,,5268475.0,805080.0,,208031.0,916750.0,,217632.0,,,,,731134.0,,,,,,,,,,,376842.0,,,217632,Prunus armeniaca,['sibling_higher'],species
Magnoliopsida,Eukaryota,Malvaceae,,Tilia,,,,,Archaeplastida,life,,Malvales,Streptophyta,,Tilia cordata,,,,,Tilioideae,,,,,,,,,,,,,,,99252.0,304358.0,279960.0,,30483.0,,,,,5268475.0,805080.0,,229284.0,916750.0,,218598.0,,,,,996483.0,,,,,,,,,,,,,,218598,Tilia cordata,[],species
,Eukaryota,Pinaceae,,Abies,,,,,Archaeplastida,life,,Pinales,Streptophyta,,Abies pinsapo,,,Pinidae,,,,,,,,,,,,,,,,,,304358.0,994067.0,,994065.0,,,,,5268475.0,805080.0,,4736806.0,916750.0,,220887.0,,,7580277.0,,,,,,,,,,,,,,,,220887,Abies pinsapo,[],species
Magnoliopsida,Eukaryota,Rosaceae,,Prunus,,,,,Archaeplastida,life,,Rosales,Streptophyta,,Prunus persica,,,,,Amygdaloideae,,,,,,,,,,,Amygdaleae,,,,99252.0,304358.0,208036.0,,731578.0,,,,,5268475.0,805080.0,,208031.0,916750.0,,259054.0,,,,,731134.0,,,,,,,,,,,376842.0,,,259054,Prunus persica,['sibling_higher'],species
Magnoliopsida,Eukaryota,Betulaceae,,Betula,,,,,Archaeplastida,life,,Fagales,Streptophyta,,Betula pendula,,,,,,,,,,,,,,,,,,,,99252.0,304358.0,791138.0,,267715.0,,,,,5268475.0,805080.0,,267709.0,916750.0,,267719.0,,,,,,,,,,,,,,,,,,,267719,Betula pendula,[],species
Magnoliopsida,Eukaryota,Cercidiphyllaceae,,Cercidiphyllum,,,,,Archaeplastida,life,,Saxifragales,Streptophyta,,Cercidiphyllum japonicum,,,,,,,,,,,,,,,,,,,,99252.0,304358.0,438272.0,,324756.0,,,,,5268475.0,805080.0,,648890.0,916750.0,,324758.0,,,,,,,,,,,,,,,,,,,324758,Cercidiphyllum japonicum,[],species
,Eukaryota,Pinaceae,,Picea,,,,,Archaeplastida,life,,Pinales,Streptophyta,,Picea jezoensis,,,Pinidae,,,,,,,,,,,,,,,,,,304358.0,994067.0,,517942.0,,,,,5268475.0,805080.0,,4736806.0,916750.0,,340875.0,,,7580277.0,,,,,,,,,,,,,,,,340875,Picea jezoensis,[],species
Magnoliopsida,Eukaryota,Ebenaceae,,Diospyros,,,,,Archaeplastida,life,,Ericales,Streptophyta,,Diospyros kaki,,,,,,,,,,,,,,,,,,,,99252.0,304358.0,393337.0,,525017.0,,,,,5268475.0,805080.0,,648892.0,916750.0,,352883.0,,,,,,,,,,,,,,,,,,,352883,Diospyros kaki,[],species
Magnoliopsida,Eukaryota,Fabaceae,,Cercis,,,,,Archaeplastida,life,,Fabales,Streptophyta,,Cercis siliquastrum,,,,,Cercidoideae,,,,,,,Cercidinae,,,,Cercideae,,,,99252.0,304358.0,560323.0,,372416.0,,,,,5268475.0,805080.0,,956360.0,916750.0,,372385.0,,,,,7055279.0,,,,,,,7055293.0,,,,792366.0,,,372385,Cercis siliquastrum,[],species
Magnoliopsida,Eukaryota,Betulaceae,,Ostrya,,,,,Archaeplastida,life,,Fagales,Streptophyta,,Ostrya carpinifolia,,,,,,,,,,,,,,,,,,,,99252.0,304358.0,791138.0,,747776.0,,,,,5268475.0,805080.0,,267709.0,916750.0,,389025.0,,,,,,,,,,,,,,,,,,,389025,Ostrya carpinifolia,[],species
,Eukaryota,Cupressaceae,,Thuja,,,,,Archaeplastida,life,,Cupressales,Streptophyta,,Thuja occidentalis,,,Pinidae,,,,,,,,,,,,,,,,,,304358.0,620757.0,,994095.0,,,,,5268475.0,805080.0,,5435764.0,916750.0,,463720.0,,,7580277.0,,,,,,,,,,,,,,,,463720,Thuja occidentalis,[],species
