#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
11683	spectra_filtered.mgf	*..*		:347	49588	-1	0	163.075	1	0.99971	0	0	265.4	4499090.0	2-METHOXYCINNAMALDEHYDE M+H	MONA	temp/spectra_filtered.mgf11683	-1	MONA.mgf	455.495				7	0	0.0742798	163.149	0	CCMSLIB00006678617
10798	spectra_filtered.mgf	*..*		:874	1510	-1	0	163.148	0	0.999695	0	0	3371780.0	5749960.0	Spectral Match to 3,5-Dimethyladamantan-1-amine from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf10798	-1	GNPS-NIST14-MATCHES.mgf	6.54691				7	0	0.00106812	163.149	0	CCMSLIB00003135997
10794	spectra_filtered.mgf	*..*		:874	1510	-1	0	163.148	0	0.999543	0	0	3371780.0	6735060.0	Spectral Match to 3,5-Dimethyladamantan-1-amine from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf10794	-1	GNPS-NIST14-MATCHES.mgf	26.2812				7	0	0.00428772	163.152	0	CCMSLIB00003135997
11180	spectra_filtered.mgf	*..*		:2185	826	-1	0	177.164	1	0.999445	0	0	440772.0	4585530.0	Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf11180	-1	GNPS-NIST14-MATCHES.mgf	21.7043				7	0	0.00384521	177.168	0	CCMSLIB00003135312
10769	spectra_filtered.mgf	*..*		:874	1510	-1	0	163.148	0	0.999237	0	0	3371780.0	7231700.0	Spectral Match to 3,5-Dimethyladamantan-1-amine from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf10769	-1	GNPS-NIST14-MATCHES.mgf	1.0288				7	0	0.000167847	163.148	0	CCMSLIB00003135997
8319	spectra_filtered.mgf	*..*		:347	49588	-1	0	163.075	1	0.999176	0	0	265.4	13162000.0	2-METHOXYCINNAMALDEHYDE M+H	MONA	temp/spectra_filtered.mgf8319	-1	MONA.mgf	451.378				7	0	0.0736084	163.149	0	CCMSLIB00006678617
8412	spectra_filtered.mgf	*..*		:10353	10799	-1	0	205.195	1	0.999021	0	0	4505090.0	4155430.0	NEROLIDOL CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf8412	-1	BERKELEY-LAB.mgf	7.58496				8	0	0.0015564	205.193	0	CCMSLIB00010112787
11673	spectra_filtered.mgf	*..*		:347	49588	-1	0	163.075	1	0.998963	0	0	265.4	4238140.0	2-METHOXYCINNAMALDEHYDE M+H	MONA	temp/spectra_filtered.mgf11673	-1	MONA.mgf	450.348				7	0	0.0734406	163.148	0	CCMSLIB00006678617
11125	spectra_filtered.mgf	*..*		:2185	826	-1	0	177.164	1	0.998864	0	0	440772.0	2188480.0	Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf11125	-1	GNPS-NIST14-MATCHES.mgf	0.0				7	0	0.0	177.164	0	CCMSLIB00003135312
11187	spectra_filtered.mgf	*..*		:347	49588	-1	0	163.075	1	0.998197	0	0	265.4	28927700.0	2-METHOXYCINNAMALDEHYDE M+H	MONA	temp/spectra_filtered.mgf11187	-1	MONA.mgf	470.559				7	0	0.0767365	163.152	0	CCMSLIB00006678617
