CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
10032	11081	1	0.9365	0.000
8282	10032	1	0.9309	0.000
8282	11081	1	0.9229	0.000
12761	13133	2	0.7774	-14.013
2542	2794	3	0.8449	-14.016
2758	2794	3	0.8713	-14.016
2794	3052	3	0.8603	-14.016
2496	2542	3	0.9312	-14.016
2496	2758	3	0.8153	-14.016
10980	13470	4	0.8527	-98.086
12793	13470	4	0.8043	-28.028
13092	13470	4	0.8334	-2.012
13110	13470	4	0.837	-1.993
13111	13470	4	0.8211	-2.014
13377	13470	4	0.801	-26.014
13465	13470	4	0.8745	0.023
13470	13696	4	0.8093	-26.017
13470	13959	4	0.862	-2.038
13290	13839	4	0.8263	162.053
13889	13957	4	0.8385	-26.016
13889	13959	4	0.8466	-26.038
13889	14032	4	0.8512	-52.031
13889	14337	4	0.9124	162.053
13889	14419	4	0.8461	-28.032
13889	14436	4	0.8742	-2.037
13889	14449	4	0.8684	-2.016
12787	13889	4	0.8431	-4.024
12793	13889	4	0.8264	-4.029
13377	13889	4	0.8717	-2.015
13465	13889	4	0.8067	24.022
13683	13936	4	0.8211	23.999
13839	13936	4	0.823	-26.015
13936	14138	4	0.8401	-52.030
13936	14337	4	0.9032	-2.014
13936	14368	4	0.8298	-28.047
13936	14379	4	0.8712	-28.030
13377	13936	4	0.8817	162.052
13462	13936	4	0.8508	-2.017
10998	14449	4	0.8271	-98.090
13959	14449	4	0.8254	24.022
14419	14449	4	0.806	26.016
14436	14449	4	0.8607	0.022
13377	14449	4	0.8346	-4.031
12787	13092	4	0.8216	-26.012
13092	13110	4	0.8251	-0.018
13092	13111	4	0.8032	0.002
13092	13377	4	0.8205	24.003
13092	13465	4	0.8434	-2.035
13092	13683	4	0.8861	162.056
13092	13696	4	0.8235	-28.028
10998	14436	4	0.8388	-98.112
13377	14436	4	0.8203	-4.052
13199	13678	4	0.8283	-28.048
13199	13683	4	0.8364	-28.030
13199	14138	4	0.8598	-56.062
11302	11306	4	0.8334	0.007
11302	12251	4	0.8196	162.059
12793	13110	4	0.8248	-26.035
13110	13111	4	0.8442	0.021
13110	13465	4	0.8381	-2.016
13110	13678	4	0.8179	162.057
13110	13683	4	0.8354	162.075
13110	13696	4	0.8079	-28.010
13678	13683	4	0.8445	0.018
13678	13976	4	0.8016	-1.997
13678	14103	4	0.8437	-1.998
13678	14138	4	0.8401	-28.013
13111	13678	4	0.8443	162.036
13957	14032	4	0.8055	-26.016
13957	14368	4	0.8347	162.036
13957	14379	4	0.8098	162.053
13465	13957	4	0.8034	-1.993
12270	13683	4	0.8053	34.012
13970	13974	4	0.8125	-0.004
13970	13976	4	0.8589	0.017
14138	14337	4	0.8036	50.016
14337	14368	4	0.8389	-26.033
14337	14379	4	0.8691	-26.016
13959	14428	4	0.8119	-2.013
14032	14428	4	0.8126	23.980
14419	14428	4	0.8247	-0.019
13683	14097	4	0.8268	-2.033
14097	14527	4	0.8331	-1.999
10565	14461	4	0.8194	-196.246
10980	14461	4	0.8169	-196.246
13974	14461	4	0.8133	-260.193
13976	14461	4	0.8191	-260.213
14461	14481	4	0.8766	-0.030
11306	12251	4	0.8188	162.052
12251	12286	4	0.8228	0.002
12251	13683	4	0.8139	34.008
13465	13481	4	0.827	-28.008
10980	14103	4	0.8066	63.966
13976	14103	4	0.8107	-0.001
14103	14379	4	0.8045	-2.015
14103	14527	4	0.8448	-2.016
12787	13462	4	0.8551	162.060
12793	13462	4	0.8238	162.056
13462	13683	4	0.8409	-26.016
13462	14138	4	0.8664	-54.047
13462	14368	4	0.804	-30.064
13462	14379	4	0.8252	-30.047
13959	14032	4	0.8442	-25.994
13959	14379	4	0.8207	162.075
13377	13959	4	0.8462	-28.053
13465	13959	4	0.8062	-2.015
13683	13976	4	0.815	-2.015
13683	14138	4	0.8214	-28.031
13111	13683	4	0.839	162.054
12787	12793	4	0.8333	0.004
12787	13111	4	0.8119	-26.010
12787	13377	4	0.9252	-2.009
12787	13696	4	0.8505	-54.040
12787	14032	4	0.8842	-56.056
12793	13377	4	0.8323	-2.013
13111	13377	4	0.8087	24.001
13377	13465	4	0.8133	-26.037
13377	13696	4	0.8505	-52.031
13377	14032	4	0.883	-54.046
13377	14419	4	0.8046	-30.047
13976	14527	4	0.8102	-2.016
14379	14527	4	0.8116	-0.000
10565	13974	4	0.8415	63.946
10980	13974	4	0.8629	63.946
13974	13976	4	0.8982	0.021
13974	14138	4	0.8511	-25.995
13974	14379	4	0.8047	-1.995
13465	13974	4	0.8162	162.055
13696	14138	4	0.8394	162.053
13976	14138	4	0.8506	-26.016
14138	14379	4	0.817	24.000
14368	14379	4	0.866	0.017
13696	14032	4	0.8546	-2.015
12793	13696	4	0.8265	-54.045
13111	13696	4	0.8594	-28.030
13465	13696	4	0.8333	-25.994
12997	13465	4	0.8047	162.039
12793	13111	4	0.8097	-26.014
12793	14032	4	0.8633	-56.060
10980	13465	4	0.8419	-98.109
13111	13465	4	0.8391	-2.037
13465	13976	4	0.8162	162.076
10565	13976	4	0.8476	63.967
10980	13976	4	0.8656	63.967
10565	10980	4	0.8832	0.000
14032	14419	4	0.8451	24.000
4056	4230	5	0.7347	-7.008
3615	3764	5	0.9076	-0.000
3764	3871	5	0.7747	-7.008
3764	4230	5	0.7337	0.990
3615	4230	5	0.7192	0.990
3615	3871	5	0.7952	-7.008
1565	1775	6	0.9679	0.000
1565	1965	6	0.9664	0.000
1565	2062	6	0.9836	0.000
1565	2202	6	0.9655	-0.000
1775	2833	6	0.9765	0.000
1965	2833	6	0.9878	0.000
2202	2833	6	0.9882	0.000
1775	2202	6	0.9747	-0.000
1965	2202	6	0.9907	-0.000
1775	2062	6	0.9682	0.000
1775	1965	6	0.9773	-0.000
11830	11847	7	0.887	-0.011
6961	7367	10	0.8067	204.063
7085	7367	10	0.8579	13.979
7367	7574	10	0.8406	-27.995
7367	8203	10	0.8638	-42.011
7367	8567	10	0.8166	-28.032
7367	9813	10	0.8867	-56.063
7367	10706	10	0.8547	-98.074
8321	8889	10	0.8172	253.078
8875	8889	10	0.8088	221.091
8889	9401	10	0.8481	-281.110
8889	9748	10	0.9434	-0.001
8889	9883	10	0.8292	-223.107
8889	10420	10	0.9413	-28.029
8889	10423	10	0.9395	-28.032
8889	10949	10	0.9448	-0.001
8889	10990	10	0.8348	-309.141
8889	11282	10	0.9242	-28.032
8889	12211	10	0.9496	-28.032
14274	14490	10	0.8132	-42.010
14374	14490	10	0.8569	-42.010
8256	14490	10	0.9373	-196.216
13785	14374	10	0.8278	-28.031
13908	14374	10	0.8541	-28.032
13076	14374	10	0.8315	-56.059
7708	14374	10	0.8292	-196.217
13076	13170	10	0.8107	0.002
13170	13785	10	0.8837	-28.030
13170	13908	10	0.9026	-28.029
7708	13170	10	0.8051	-140.155
5638	7368	10	0.8933	-56.063
11300	11301	10	0.9363	-17.026
11300	12214	10	0.8999	-42.011
10950	12213	10	0.8304	-106.065
10951	12213	10	0.9456	-28.033
12212	12213	10	0.8881	-78.034
12213	12214	10	0.8508	-18.010
8524	12861	10	0.805	-238.192
11658	12861	10	0.8008	-168.114
12343	12861	10	0.827	-42.010
12796	12861	10	0.9407	-26.016
12861	13439	10	0.8759	-72.055
12861	13524	10	0.9549	-2.012
12861	13544	10	0.9414	-28.029
12861	13552	10	0.8698	-74.071
12861	13832	10	0.8757	-16.066
12861	14092	10	0.9428	-30.044
12861	14291	10	0.8474	-44.060
12861	14502	10	0.879	-58.075
12861	14555	10	0.9302	-58.076
12324	13238	10	0.8334	-28.030
13238	13631	10	0.8341	-42.009
13238	14055	10	0.8343	-28.030
13238	14159	10	0.8373	120.044
5640	6971	10	0.8187	16.031
6084	6971	10	0.853	-56.026
6517	6971	10	0.8346	-42.010
6561	6971	10	0.9344	-14.016
6915	6971	10	0.8124	-27.995
6961	6971	10	0.8214	27.995
6971	7391	10	0.8992	-14.016
6971	8527	10	0.9308	-42.047
6971	9813	10	0.8193	120.005
9401	12211	10	0.8661	253.078
9748	12211	10	0.965	-28.031
9883	12211	10	0.8249	195.075
8321	12211	10	0.835	225.046
8875	12211	10	0.8156	193.059
10420	12211	10	0.961	-0.003
10423	12211	10	0.9619	-0.000
10949	12211	10	0.9619	-28.031
10990	12211	10	0.8489	281.109
11282	12211	10	0.9453	-0.000
9467	10424	10	0.849	204.056
8881	10424	10	0.9312	-28.032
8947	10424	10	0.9012	162.046
10415	10424	10	0.9343	-0.004
10424	11431	10	0.862	-42.011
10424	11868	10	0.9018	-28.033
7876	10424	10	0.8115	178.045
12813	13019	10	0.8109	-42.011
12813	13134	10	0.8733	-42.009
12813	13644	10	0.8301	-28.027
13524	13544	10	0.9079	-26.017
13524	13552	10	0.8414	-72.059
13524	13729	10	0.837	-42.010
13524	13832	10	0.8674	-14.054
13524	14092	10	0.9242	-28.032
13524	14291	10	0.8419	-42.048
13524	14502	10	0.8717	-56.063
13524	14555	10	0.915	-56.064
12796	13524	10	0.9241	-28.027
13019	13524	10	0.8037	-42.006
