CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
8321	8524	-27.995	0.000	0.8259	0.6749	1
8321	8875	31.988	0.000	0.7644	0.4421	1
8321	8889	253.078	0.000	0.8172	0.4595	1
8321	9028	-42.011	0.000	0.8575	0.7593	1
8321	9401	-28.032	0.000	0.9531	0.7841	1
8321	9748	253.078	0.000	0.8397	0.4799	1
8321	9883	29.971	0.000	0.7677	0.4685	1
8321	10356	-70.042	0.000	0.7953	0.6055	1
8321	10420	225.049	0.000	0.8322	0.4799	1
8321	10423	225.047	0.000	0.8266	0.4595	1
8321	10949	253.078	0.000	0.8310	0.4799	1
8321	10953	-12.040	0.000	0.7161	0.4824	1
8321	10990	-56.063	0.000	0.9388	0.7319	1
8321	11282	225.046	0.000	0.8117	0.4595	1
8321	11431	1.940	0.000	0.7331	0.4431	1
8321	11658	-98.073	0.000	0.8522	0.6839	1
8321	12211	225.046	0.000	0.8350	0.4736	1
8321	12642	-26.093	0.000	0.7697	0.4880	1
8321	12796	-240.171	0.000	0.7209	0.4543	1
8321	12797	-268.202	0.000	0.7173	0.4570	1
8321	12861	-266.187	0.000	0.7034	0.4168	1
8321	13170	-416.276	0.000	0.7001	0.3536	1
8321	13524	-268.199	0.000	0.7144	0.4085	1
8321	13544	-294.216	0.000	0.7067	0.4157	1
8321	13552	-340.257	0.000	0.7142	0.4272	1
8321	13832	-282.253	0.000	0.7241	0.4544	1
8321	13908	-444.305	0.000	0.7134	0.3788	1
8321	14092	-296.231	0.000	0.7010	0.4079	1
8321	14291	-310.247	0.000	0.7095	0.4117	1
8321	14490	-514.347	0.000	0.7127	0.4197	1
8322	8404	-0.001	0.000	0.8670	0.5916	1
8322	8525	-27.995	0.000	0.7360	0.4474	1
8322	9017	-42.011	0.000	0.8328	0.5427	1
8322	9402	-28.032	0.000	0.8616	0.6064	1
8322	9441	15.991	0.000	0.7100	0.5387	1
8322	9710	-84.021	0.000	0.7322	0.4202	1
8322	10357	-70.042	0.000	0.7251	0.4296	1
