CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
7922	7923	1	0.9754	0.002
7922	9008	1	0.9455	-14.015
7922	9154	1	0.9576	58.007
7922	9777	1	0.948	0.001
7922	9792	1	0.9545	43.992
7922	9800	1	0.95	43.983
7922	10183	1	0.9709	0.001
7922	11106	1	0.9869	0.001
7922	11493	1	0.9747	0.001
7922	11684	1	0.9515	0.001
7922	12113	1	0.9665	0.001
7922	12114	1	0.9728	-0.007
7922	12444	1	0.9784	0.001
7922	12448	1	0.9553	-0.007
7922	12760	1	0.981	-0.007
11106	12113	1	0.9724	-0.000
9777	12113	1	0.9448	0.000
9792	12113	1	0.9639	-43.991
9800	12113	1	0.9645	-43.982
10183	12113	1	0.9657	0.000
11492	12113	1	0.9428	0.009
11493	12113	1	0.973	-0.000
11684	12113	1	0.9773	-0.000
12113	12114	1	0.9526	-0.009
12113	12444	1	0.9847	0.000
12113	12448	1	0.9679	-0.009
12113	12760	1	0.9654	-0.009
7923	12113	1	0.9558	-0.000
8642	10823	1	0.9417	15.987
10823	11106	1	0.9547	0.010
10823	11492	1	0.9516	0.001
10823	12760	1	0.9574	0.001
9777	10823	1	0.952	-0.010
10183	10823	1	0.9796	-0.010
9008	11493	1	0.9526	14.016
6039	7692	1	0.9466	-0.000
6039	7695	1	0.949	-0.003
8642	11493	1	0.9487	15.997
11106	11493	1	0.9831	0.000
9792	11493	1	0.9569	-43.990
9800	11493	1	0.9521	-43.981
10183	11493	1	0.9698	0.000
11492	11493	1	0.9533	0.009
11493	11684	1	0.9628	-0.000
11493	12114	1	0.9609	-0.009
11493	12444	1	0.9806	-0.000
11493	12448	1	0.9612	-0.009
11493	12760	1	0.9747	-0.009
7923	11493	1	0.9617	-0.000
8642	9777	1	0.9415	15.997
8642	10183	1	0.9568	15.997
7923	9154	1	0.9465	58.005
7923	9792	1	0.955	43.990
7923	9800	1	0.949	43.981
7923	11106	1	0.9707	-0.000
7923	12114	1	0.9624	-0.009
7923	12444	1	0.9698	-0.000
7923	12448	1	0.9528	-0.009
7923	12760	1	0.9642	-0.009
6309	7695	1	0.9586	-0.003
7692	7695	1	0.9795	-0.002
6309	7692	1	0.9558	-0.000
6309	9777	1	0.9457	-2.016
9154	11106	1	0.9525	-58.005
11106	11684	1	0.9606	-0.000
11106	12114	1	0.9741	-0.009
11106	12444	1	0.9807	-0.000
11106	12448	1	0.962	-0.009
11106	12760	1	0.9842	-0.009
9777	11106	1	0.9563	0.000
9792	11106	1	0.9585	-43.990
9800	11106	1	0.9539	-43.981
10183	11106	1	0.9785	0.000
9154	12760	1	0.9539	-58.014
9777	12760	1	0.9577	-0.009
9792	12760	1	0.9636	-43.999
9800	12760	1	0.9602	-43.990
10183	12760	1	0.9837	-0.009
11684	12760	1	0.9517	-0.009
12114	12760	1	0.9666	0.000
12444	12760	1	0.9757	-0.009
12448	12760	1	0.9545	0.000
9777	10183	1	0.9616	0.000
9777	11492	1	0.9429	-0.008
9777	12444	1	0.9433	0.000
9777	12448	1	0.941	-0.009
9154	12444	1	0.9552	-58.005
9792	12444	1	0.9654	-43.990
9800	12444	1	0.9646	-43.981
10183	12444	1	0.966	0.000
11684	12444	1	0.978	0.000
12114	12444	1	0.9613	0.009
12444	12448	1	0.9584	-0.009
7692	12444	1	0.9437	-2.015
9154	9800	1	0.9551	-14.024
9792	9800	1	0.9928	-0.009
9800	10183	1	0.9575	-43.982
9800	11684	1	0.9488	-43.982
