CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
5201	5202	-120.043	0.000	0.9179	0.7691	1
5201	5218	21.984	0.000	0.7963	0.5700	1
5201	5608	-78.032	0.000	0.8977	0.8216	1
5201	5760	-443.164	0.000	0.7959	0.5419	1
5201	5768	-120.043	0.000	0.9105	0.6828	1
5201	5910	-443.164	0.000	0.7134	0.4968	1
5201	5994	-0.110	0.000	0.7180	0.5296	1
5201	6009	-110.036	0.000	0.7313	0.5435	1
5201	6079	-110.037	0.000	0.7079	0.4072	1
5201	6295	-124.053	0.000	0.7536	0.4209	1
5201	6427	-410.093	0.000	0.7162	0.3721	1
5201	7102	-174.105	0.000	0.7092	0.3613	1
5201	7238	-14.125	0.000	0.7122	0.5474	1
5201	8085	121.964	0.000	0.7290	0.4438	1
5201	8302	121.964	0.000	0.7332	0.4438	1
5201	9368	125.959	0.000	0.7587	0.4587	1
5201	11919	-232.314	0.000	0.7804	0.4072	1
5201	12878	-260.347	0.000	0.7929	0.4761	1
5202	5437	14.001	0.000	0.7442	0.3891	1
5202	5608	42.011	0.000	0.9292	0.7968	1
5202	5760	-323.121	0.000	0.8547	0.6479	1
5202	5768	-0.000	0.000	0.9616	0.7915	1
5202	5910	-323.122	0.000	0.7444	0.5416	1
5202	5994	119.933	0.000	0.7000	0.4402	1
5202	6432	-4.010	0.000	0.7223	0.4122	1
5202	7102	-54.062	0.000	0.7144	0.3701	1
5202	12878	-140.304	0.000	0.7534	0.4341	1
5203	5290	2.015	0.000	0.7003	0.6298	1
5203	5353	-27.995	0.000	0.7249	0.6106	1
5203	5411	-14.016	0.000	0.8149	0.7745	1
5203	5440	-42.011	0.000	0.7417	0.6146	1
5203	5864	18.010	0.000	0.7411	0.6030	1
5203	5893	-28.032	0.000	0.8290	0.7453	1
5203	6351	-10.021	0.000	0.7455	0.6156	1
5204	5248	-78.068	0.000	0.7158	0.4323	1
5204	5266	-120.079	0.000	0.7086	0.4269	1
5204	5283	-178.084	0.000	0.7125	0.4820	1
5204	5446	-120.078	0.000	0.7950	0.6057	1
5204	5470	-120.074	0.000	0.8091	0.6349	1
5204	5666	-120.079	0.000	0.7838	0.4976	1
5204	5814	-62.073	0.000	0.7198	0.4607	1
5204	6053	-162.090	0.000	0.7607	0.5391	1
5204	6141	-60.057	0.000	0.7018	0.5625	1
5204	6144	-102.069	0.000	0.7190	0.5699	1
5204	6145	-162.088	0.000	0.7255	0.5446	1
5204	6323	-44.062	0.000	0.7303	0.4617	1
5204	6324	-104.083	0.000	0.7830	0.4964	1
5206	5537	-60.021	0.000	0.7170	0.6379	1
5207	5732	15.994	0.000	0.7225	0.3909	1
5207	5843	-42.010	0.000	0.8698	0.6336	1
5208	5673	18.010	0.000	0.7898	0.5168	1
5208	5674	-42.010	0.000	0.8263	0.5329	1
5208	5843	76.016	0.000	0.7131	0.5144	1
5209	5231	38.052	0.000	0.7267	0.7238	1
5209	5299	0.036	0.000	0.7238	0.6942	1
5209	5304	-1.979	0.000	0.7359	0.7092	1
5209	5327	16.031	0.000	0.7178	0.6985	1
5209	5393	68.062	0.000	0.7308	0.6508	1
5209	5410	-3.995	0.000	0.7675	0.7531	1
