formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	CH3NO8	[M - H2O + H]+	CH2NO7+	1.000	0.387	0.896	0.896	0.000	0	0.000	-1.770	1.770	-128664.134		139.982	6	0.093	712763057424360800	712762513607622884	1	
1	CH3NO8	[M - H2O + H]+	CH2NO7+	0.999	0.000	0.992	0.992	0.000	0	0.000	-0.134	0.134	-128662.925		139.983	15	0.246	712763057877345699	712762513808949480	2	
1	C3H7Cl2NO	[M - H2O + H]+	C3H6Cl2N+	0.765	0.332	16.573	14.426	2.147	1	0.779	-4.948	4.948	-142960.986		125.987	22	0.361	712763057361446200	712762513922195692	3	
1	CH7FN3O3	[M + Na]+	CH7FN3NaO3+	0.841	0.917	33.829	33.829	0.000	8	0.406	5.844	5.844	-5.330		151.036	22	0.362	712763057596327281	712762514043830512	4	
1	C5H10Cl2N2O	[M - H2O + H]+	C5H9Cl2N2+	0.752	0.331	21.126	18.634	2.492	2	0.942	-5.889	5.889	-107842.741		167.013	22	0.362	712763058007369149	712762514140299508	5	
1	C5H8Cl2NO3	[M - H2O + H]+	C5H7Cl2NO2+	1.000	0.329	9.225	9.225	0.000	3	0.176	4.038	4.410	-98422.042		182.986	22	0.366	712763058762343959	712762514303877372	7	
1	C6H6Cl3N3O3	[M - H2O + H]+	C6H5Cl3N3O2+	0.747	0.174	42.606	40.361	2.245	7	0.500	-1.049	1.049	-70368.382		255.944	22	0.366	712763071571749965	712762514219991288	6	
1	C3H7Cl2NO	[M + H]+	C3H8Cl2NO+	0.948	0.495	28.903	28.903	0.000	3	0.860	-4.962	4.962	-4.414		143.997	22	0.368	712763059164997213	712762514379374848	8	
1	C6H10O2S	[M + H3N + H]+	C6H14NO2S+	0.993	0.333	58.143	55.663	2.480	6	0.908	8.705	8.705	2.827		164.074	23	0.384	712763057415972170	712762514454872324	9	
1	C6H12O5	[M + H3N + H]+	C6H16NO5+	1.000	0.500	159.616	156.836	2.780	38	0.917	6.354	6.354	2.202		182.103	24	0.392	712763058296776181	712762514547147016	10	
1	C6H14N2OSi	[M + H3N + H]+	C6H18N3OSi+	0.999	0.333	67.528	67.528	0.000	13	0.529	7.233	7.233	5.081		176.122	24	0.395	712763056182846643	712762514618450188	11	
1	C6H11N3O2	[M + H3N + H]+	C6H15N4O2+	1.000	0.333	146.975	142.006	4.969	19	0.571	2.337	2.337	1.986		175.119	24	0.399	712763056040240287	712762514719113488	12	
1	C6H10O4	[M + H3N + H]+	C6H14NO4+	1.000	0.333	158.995	156.184	2.811	36	0.894	7.241	7.241	3.021		164.092	24	0.399	712763056832963843	712762514790416660	13	
1	C6H6N2O2	[M + H3N + H]+	C6H10N3O2+	0.999	0.333	48.512	46.129	2.382	5	0.952	5.039	5.039	2.480		156.077	24	0.405	712763056988153114	712762514865914136	14	
1	C7H13N3O2	[M + H3N + H]+	C7H17N4O2+	0.999	0.333	92.717	90.109	2.608	24	0.896	2.204	2.204	0.834		189.135	25	0.410	712763056430310609	712762514937217308	15	
1	C12H21N3O7	[M + H3N + H]+	C12H25N4O7+	1.000	0.333	160.121	156.838	3.283	30	0.624	0.801	0.965	0.488		337.172	25	0.414	712763068744788590	712762515000131872	16	
1	C4H5NO3	[M + H3N + H]+	C4H9N2O3+	0.998	0.333	69.626	66.934	2.693	7	0.465	5.629	5.629	1.965		133.061	25	0.417	712763056153486506	712762515079823652	17	
1	C4H7NO4	[M + H]+	C4H8NO4+	0.565	0.333	18.564	18.564	0.000	1	0.409	9.230	9.230	2.207		134.045	25	0.418	712763056442893530	712762515155321128	18	
1	C5H7NO3	[M + H3N + H]+	C5H11N2O3+	1.000	0.333	59.066	54.145	4.921	5	0.224	3.404	3.526	1.709		147.077	25	0.418	712763056417727688	712762515243401516	19	
1	C5H4O3	[M + H3N + H]+	C5H8NO3+	0.914	0.333	63.125	58.557	4.568	4	0.721	6.268	6.268	2.310		130.050	25	0.419	712763057671824773	712762515327287600	20	
1	C5H14NO4P	[M + H]+	C5H15NO4P+	0.984	0.005	81.265	78.547	2.718	26	0.927	6.647	6.647	1.353		184.074	25	0.420	712763060045801155	712762515402785076	21	
1	C9H17N3O3	[M - H2O + H]+	C9H16N3O2+	0.730	0.333	54.336	51.679	2.657	7	0.951	2.056	2.292	-90904.074		198.124	25	0.421	712763058145781199	712762515461505336	22	
