"samples"	"LV1"	"LV2"
"202505131015_CVOL_dbgi_007499_01_01.mzML"	-5.58296640866962	0.17709334970625
"202505131015_CVOL_dbgi_007500_01_01.mzML"	-5.2285555885396	-0.0929751224656565
"202505131015_CVOL_dbgi_007504_01_01.mzML"	-4.44909617793161	-0.644308938971782
"202505131015_CVOL_dbgi_007509_01_01.mzML"	-4.55628825315685	-0.759264700182858
"202505131015_CVOL_dbgi_007510_01_01.mzML"	-2.76943656676185	-1.79853386737162
"202505131015_CVOL_dbgi_007512_01_01.mzML"	-5.01071521132153	-0.140185822450647
"202505131015_CVOL_dbgi_007514_01_01.mzML"	-4.23825098659542	-1.68512015494639
"202505131015_CVOL_dbgi_007515_01_01.mzML"	-3.07197451795352	-1.89103323908734
"202505131015_CVOL_dbgi_007519_01_01.mzML"	-5.57800717287821	2.73401925661877
"202505131015_CVOL_dbgi_007520_01_01.mzML"	-3.06483185884427	-2.04310076768932
"202505131015_CVOL_dbgi_007524_01_01.mzML"	-2.89094651783444	-1.6890237169298
"202505131015_CVOL_dbgi_007525_01_01.mzML"	-3.12758321916076	-2.19652211241195
"202505131015_CVOL_dbgi_007529_01_01.mzML"	-4.67155664853986	0.613577312692699
"202505131015_CVOL_dbgi_007530_01_01.mzML"	-3.70141464726405	-1.00423343662646
"202505131015_CVOL_dbgi_007532_01_01.mzML"	-3.92178796470435	-1.53642286842151
"202505131015_CVOL_dbgi_007533_01_01.mzML"	-1.5533966683124	-2.00864699569152
"202505131015_CVOL_dbgi_007534_01_01.mzML"	-5.79588780465281	4.93671414181923
"202505131015_CVOL_dbgi_007535_01_01.mzML"	-4.11028860221914	-1.65704389526845
"202505131015_CVOL_dbgi_007536_01_01.mzML"	-4.72014621785679	-0.753401802081966
"202505131015_CVOL_dbgi_007539_01_01.mzML"	-5.93924894790306	5.27952690025219
"202505131015_CVOL_dbgi_007544_01_01.mzML"	-4.50010261879007	-0.475351980220053
"202505131015_CVOL_dbgi_007547_01_01.mzML"	-2.76613920684756	-1.89931623433101
"202505131015_CVOL_dbgi_007549_01_01.mzML"	-4.94362789349764	-0.695546717381135
"202505131015_CVOL_dbgi_007557_01_01.mzML"	-2.84094536122282	-1.77911792973099
"202505131015_CVOL_dbgi_007558_01_01.mzML"	-3.52968210799218	-1.68741967191039
"202505131015_CVOL_dbgi_007560_01_01.mzML"	-4.71921600073169	-0.890188457499408
"202505131015_CVOL_dbgi_007561_01_01.mzML"	-6.06789731788904	5.20790538433582
"202505131015_CVOL_dbgi_007564_01_01.mzML"	-4.27277121776096	-0.67257649644216
"202505131015_CVOL_dbgi_007567_01_01.mzML"	-2.76853138344225	-1.90653836116058
"202505131015_CVOL_dbgi_007573_01_01.mzML"	-4.97485394426427	0.240609703135203
"202505131015_CVOL_dbgi_007575_01_01.mzML"	-3.07294678663285	-2.6220387013847
"202505131015_CVOL_dbgi_007576_01_01.mzML"	-3.0736054125327	-1.72856520902297
"202505131015_CVOL_dbgi_007579_01_01.mzML"	-4.32581065252002	-1.11472452465774
"202505131015_CVOL_dbgi_007587_01_01.mzML"	-5.12477674815672	-0.678718473783486
"202505131015_CVOL_dbgi_007589_01_01.mzML"	-5.33356334986842	-0.376626487138933
"202505131015_CVOL_dbgi_007613_01_01.mzML"	-4.41603430580536	-1.19388259185244
"202505131015_CVOL_dbgi_007620_01_01.mzML"	-3.16824446158402	-0.467600155133812
"202505131015_CVOL_dbgi_007630_01_01.mzML"	-5.62385824918864	0.798101255221827
"202505131015_CVOL_dbgi_007640_01_01.mzML"	-7.61247804049573	12.5151940306412
"202505131015_CVOL_dbgi_007645_01_01.mzML"	-3.40937042720479	-1.07498636227083
"202505131015_CVOL_dbgi_007646_01_01.mzML"	-4.60630452168585	-1.068692177098
"202505131015_CVOL_dbgi_007650_01_01.mzML"	-4.01806662448477	-1.46366315931172
