"features"	"LV1"	"LV2"
1	-0.0246181838510654	-0.00511586567736635
10	-0.001255124642709	-0.000859690276005385
100	-0.0030159712469048	0.000560840143008498
1000	-0.00266460860102318	1.24127426130029e-05
10000	-0.00284774128980417	0.0158451899838471
10001	-0.00260396436799121	-0.00323322251669346
10002	-0.00262447217642777	-0.00201904832157958
10003	-0.00262447217642777	-0.00201904832157958
10004	-0.00311615420277381	-0.0045189337523159
10005	-0.00311615420277381	-0.0045189337523159
10006	-0.00280148262757129	-0.00294710884888609
10007	-0.00284774128980417	0.0158451899838471
10008	-0.0079549008084727	0.00930428320072116
10009	-0.00427393655410469	-0.0019476070599611
1001	-0.00190815162067448	-0.000976370945046182
10010	-0.0018071175331358	-0.0013037441261139
10011	-0.00246591873254906	-0.0049646930849504
10012	-0.003355445109324	-0.00209823534916311
10013	-0.00344463433379804	-0.00339242499545663
10014	-0.00299149615136137	-0.00281443944291668
10015	-0.00349294171487045	-0.0040312331005643
10016	-0.00272755832789297	-0.00347904760255437
10017	-0.00168125629161066	0.00589045079534343
10018	-0.00209885775283338	0.000748702225148086
10019	-0.00262447217642777	-0.00201904832157958
1002	-0.00535214698773509	0.000119478476137679
10020	-0.00262447217642777	-0.00201904832157958
10021	-0.00311615420277381	-0.0045189337523159
10022	-0.00311615420277381	-0.0045189337523159
10024	-0.00284774128980417	0.0158451899838471
10025	-0.0160765779860928	-0.0043661229704607
10026	-0.00246591873254906	-0.0049646930849504
10027	-0.00739147440201362	-0.00117199169682483
10028	-0.00858912757974003	-0.00348541959292886
10029	-0.00311615420277381	-0.0045189337523159
1003	-0.00409015179463153	-0.00652226247854448
10030	-0.0020209861426925	0.00337247176168223
10031	-0.0020209861426925	0.00337247176168223
10032	-0.0020209861426925	0.00337247176168223
10033	-0.0020209861426925	0.00337247176168223
10034	-0.0020209861426925	0.00337247176168223
10035	-0.0020209861426925	0.00337247176168223
10036	-0.0020209861426925	0.00337247176168223
10037	-0.0020209861426925	0.00337247176168223
10038	-0.0020209861426925	0.00337247176168223
10039	-0.0020209861426925	0.00337247176168223
1004	-0.00540231704656331	-0.00123906456885944
10040	-0.00212490484406573	-0.00185943126871631
10041	-0.00284774128980417	0.0158451899838471
10042	-0.00381682995302671	-0.0037243530689732
10043	-0.00268805965524647	-0.00270353634230063
10044	-0.00246591873254906	-0.0049646930849504
10045	-0.00246591873254906	-0.0049646930849504
10046	-0.00250214916276097	-0.00275467934799409
10047	-0.00250214916276097	-0.00275467934799409
10048	-0.00281602111935901	-0.00317299981452289
10049	-0.00126342085690503	-0.000996034873481045
1005	-0.00246591873254906	-0.0049646930849504
10050	-0.00168125629161066	0.00589045079534343
10051	-0.00458412738297624	-0.0048376621431571
10052	-0.0057625336026302	-0.00240148464349906
10053	-0.00187193663623611	-0.0013841829534341
10054	-0.00187193663623611	-0.0013841829534341
10055	-0.00187193663623611	-0.0013841829534341
10056	-0.00187193663623611	-0.0013841829534341
10057	-0.00187193663623611	-0.0013841829534341
10058	-0.00187193663623611	-0.0013841829534341
10059	-0.00187193663623611	-0.0013841829534341
1006	-0.00626230795579217	-0.00475656212328627
10060	-0.00187193663623611	-0.0013841829534341
10061	-0.00187193663623611	-0.0013841829534341
10062	-0.00187193663623611	-0.0013841829534341
10063	-0.00187193663623611	-0.0013841829534341
10064	-0.00187193663623611	-0.0013841829534341
10065	-0.00187193663623611	-0.0013841829534341
10066	-0.00559833870148222	-0.00318095520133655
10067	-0.00187193663623611	-0.0013841829534341
10068	-0.00187193663623611	-0.0013841829534341
10069	-0.00208565840042831	-0.00179581614107006
1007	-0.00345689143926645	0.000499355657635306
10070	-0.00203330057748442	-0.000205471554335157
10071	-0.0020410925298982	-0.0017247485545862
10072	-0.00207688044678652	-0.00179680122248435
