"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
5702	"NA_[5702_228.2_5.3]"	22.3610445090775	-0.172066273742495	0.0113182243572353
14392	"NA_[14392_537.53_11.7]"	20.5365976420001	-0.162812522588653	-0.0474369139179681
6976	"NA_[6976_395.36_6.5]"	20.3374930324695	-0.158728512914759	-0.0116210277921781
14390	"NA_[14390_282.28_11.7]"	19.6288185348582	-0.156147337837627	-0.0464768564445702
13479	"NA_[13479_607.39_10.8]"	18.9033856254057	-0.147578702663481	-0.0305419651384745
14116	"NA_[14116_565.57_11.4]"	18.6460452078011	-0.149857543216005	-0.03986384593621
13478	"NA_[13478_663.45_10.8]"	17.532244697153	-0.13725646753079	-0.0262857129129427
89	"NA_[89_360.15_0.5]"	16.9519005625705	-0.140612879277252	0.0135578217722915
13450	"NA_[13450_1342.93_10.8]"	16.8959937631479	-0.132136821516032	-0.0366913106240026
13475	"NA_[13475_551.33_10.8]"	16.7951080741432	-0.132147383707832	-0.0262099721438504
9267	"NA_[9267_254.25_8.4]"	16.7606707222068	-0.130034236927486	-0.0223839554443025
13486	"NA_[13486_708.51_10.8]"	15.7588014664546	-0.121419818236984	-0.0234299263187252
14399	"NA_[14399_582.59_11.7]"	15.6577216460348	-0.123402009174712	-0.0423856345314576
6770	"NA_[6770_250.12_6.3]"	15.3566580900824	-0.118943438907147	-0.0115693111300268
13391	"NA_[13391_338.34_10.8]"	14.9809230704415	-0.121335814913369	-0.0336573879664851
13493	"NA_[13493_680.48_10.8]"	13.4307962816049	-0.106816067973997	-0.0219599103678728
14109	"NA_[14109_610.62_11.3]"	13.0066062559418	-0.104421285160972	-0.0453261605310505
13991	"NA_[13991_797.52_11.2]"	12.8984882450732	-0.111058448737275	-0.0546725010870492
13982	"NA_[13982_820.59_11.2]"	12.7153810968831	-0.108871088907852	-0.0663386296021442
13411	"NA_[13411_685.44_10.8]"	12.7127479905177	-0.102087100007397	-0.0496969103719845
14389	"NA_[14389_281.3_11.7]"	12.3622218332035	-0.102180751317376	-0.0346660201602234
246	"NA_[246_242.98_0.6]"	12.2847304117934	-0.105844207422838	0.00324563268380611
9730	"NA_[9730_280.26_8.7]"	12.092423960891	-0.0939225455945413	-0.00956428938794294
5700	"NA_[5700_250.18_5.3]"	11.9423035532995	-0.091211821286966	-0.0151468942435145
14110	"NA_[14110_310.31_11.3]"	11.7951103574021	-0.0976433736159239	-0.0313203351189007
13976	"NA_[13976_792.56_11.2]"	11.4213254571053	-0.100234818203227	-0.0667899254351751
14113	"NA_[14113_282.28_11.4]"	11.1888922004299	-0.0925102034192843	-0.0296462519666878
13979	"NA_[13979_613.48_11.2]"	11.0291086781204	-0.0968961515110481	-0.066064613104326
91	"NA_[91_127.04_0.5]"	10.895266593851	-0.0938772769901784	0.0177448951174893
14096	"NA_[14096_393.34_11.3]"	10.8903428016106	-0.0847363967646279	-0.0275563112170896
471	"NA_[471_158.96_1]"	10.8743569976776	-0.0799459015996159	-0.0101028465673287
13446	"NA_[13446_495.27_10.8]"	10.8412332325826	-0.084972824095949	-0.0176146447291304
14401	"NA_[14401_559.52_11.7]"	10.6975148334053	-0.0836777827007236	-0.0262519942954533
14100	"NA_[14100_394.35_11.3]"	10.2227668602126	-0.0811245095020695	-0.0252885297800994
13977	"NA_[13977_335.26_11.2]"	10.1533784344734	-0.0897705704585348	-0.0640730665356307
14432	"NA_[14432_506.53_11.7]"	9.94147223629149	-0.0790296230260325	-0.0202448313370267
13490	"NA_[13490_959.57_10.8]"	9.92067380988476	-0.0860756779033369	-0.0463074007251263
13470	"NA_[13470_954.61_10.8]"	9.59180140338869	-0.0845766028100697	-0.052407817862457
512	"NA_[512_158.96_1.1]"	9.44173359522538	-0.0780975910401048	0.0239952635757709
5687	"N,N-dibutyl-2-[[2-(1,3-dioxo-2-isoindolyl)-1-oxoethyl]amino]benzamide_[5687_158.15_5.2]"	8.79087881085835	-0.065270063092082	0.00241936395608487
92	"NA_[92_145.05_0.5]"	8.75777449423929	-0.0752635979515633	0.00960940370381929
4	"NA_[4_151.04_0.4]"	8.58607839723053	-0.0711973040731578	0.00992950310709621
13473	"NA_[13473_613.48_10.8]"	8.51345227228869	-0.0756836127512374	-0.0531213107264999
10966	"NA_[10966_282.28_9.3]"	8.38466797686806	-0.0640407624131865	-0.0118036521835793
10964	"NA_[10964_265.25_9.3]"	8.27041765728031	-0.0636101086340548	-0.0139999854419942
30	"itaconate(2-)_[30_148.06_0.4]"	7.98091670243871	-0.0669207092234926	-0.0354530078286835
13416	"NA_[13416_708.51_10.8]"	7.84547154067663	-0.0667321300822255	-0.0463583028599692
12250	"NA_[12250_284.3_10]"	7.65842727153978	-0.0573326614213165	-0.0129036667789316
245	"NA_[245_215.02_0.6]"	7.62286067139695	-0.0668193180686738	0.000757130115504583
83	"NA_[83_381.08_0.4]"	7.30226229989397	-0.0641710448615331	-0.0348116011003163
14121	"NA_[14121_587.55_11.4]"	7.06739421514389	-0.05779564568685	-0.0262810445714762
14380	"NA_[14380_799.53_11.7]"	6.93559688882707	-0.0598927243343279	-0.0329717023394471
7713	"NA_[7713_280.26_7.1]"	6.89421691094084	-0.0542300685600854	-0.0194728202807292
10963	"NA_[10963_247.24_9.3]"	6.82219266661592	-0.0519817533002283	-0.00783166988376533
14230	"NA_[14230_736.53_11.5]"	6.72050696333554	-0.0578267395669968	-0.0428145001881521
14021	"NA_[14021_663.45_11.3]"	6.5982611819566	-0.0597034818588257	-0.0556641355971239
10653	"NA_[10653_256.26_9.2]"	6.53832464339551	-0.0554027980580109	-0.0277198886480994
8954	"NA_[8954_228.23_8.1]"	6.41890212473119	-0.0490391739081673	-0.0104583155814147
10652	"NA_[10652_256.26_9.2]"	6.35841584988916	-0.0466303129089005	0.00190871800562881
8122	"NA_[8122_380.28_7.4]"	6.1692204533314	-0.0497974650307486	0.0636428695561301
715	"NA_[715_199.99_1.4]"	6.01099660970114	-0.0543850485779287	0.00286734682348662
13980	"NA_[13980_595.47_11.2]"	5.90628214733544	-0.0526195413076036	-0.0372769348101498
244	"NA_[244_210.06_0.6]"	5.88581935469021	-0.0520394099690608	-0.00320241990471649
1329	"NA_[1329_291.09_2.1]"	5.77528634185285	-0.0473720214345504	0.00486931452817172
10973	"NA_[10973_282.28_9.3]"	5.68173353274102	-0.0481788750904889	-0.0121747622813369
200	"NA_[200_182.99_0.6]"	5.35088237836893	-0.0423267199540998	-0.00602522571404534
1734	"NA_[1734_349.13_2.5]"	5.33534651544196	-0.042897302550313	0.0625196848806799
12727	"NA_[12727_629.28_10.3]"	5.31131834539539	-0.0473411014130123	-0.0273825077175095
106	"NA_[106_365.11_0.5]"	5.16767739345728	-0.0419711115569456	0.00579591342955762
13467	"NA_[13467_335.26_10.8]"	5.15193330224435	-0.0458305657603116	-0.0294444204510656
20	"NA_[20_130.05_0.4]"	5.09523023540989	-0.0425646653085148	-0.00866449815749759
9332	"NA_[9332_184.99_8.4]"	4.90475634829191	-0.0395275751472431	-0.0181625353175832
12599	"NA_[12599_568.43_10.2]"	4.8615175531861	-0.0421419222718242	-0.0145840116004845
14099	"NA_[14099_322.25_11.3]"	4.84468332315819	-0.0375953695036555	-0.0114688721929798
457	"NA_[457_139.98_1]"	4.74895681202605	-0.0393525094568434	0.0169284484919257
14293	"NA_[14293_520.35_11.6]"	4.70520621145192	-0.0390637481497185	-0.0256652951949278
90	"NA_[90_325.11_0.5]"	4.6734668908187	-0.0421028775569458	-0.0061025392736585
261	"NA_[261_229.16_0.6]"	4.48452664996192	-0.0390008800114774	0.018735039641924
19	"NA_[19_147.08_0.4]"	4.4692012861356	-0.0371518496234615	-0.00356590489129046
13460	"NA_[13460_769.49_10.8]"	4.39640073613765	-0.0347578506136981	-0.0110111049295396
13421	"NA_[13421_680.48_10.8]"	4.31303884546064	-0.0391071701250699	-0.0309573658807312
14202	"NA_[14202_520.36_11.4]"	4.23388558312858	-0.0357388009605327	-0.0082028395439856
1302	"NA_[1302_867.21_2.1]"	4.20343609447488	-0.0329816143944286	0.00253100114948992
227	"NA_[227_308.09_0.6]"	4.16634312589346	-0.0365461985184128	-0.0158851727329255
341	"NA_[341_139.98_0.8]"	4.14567142377415	-0.0344678786855478	-0.0048573532361602
1077	"NA_[1077_579.15_2]"	4.13366055560657	-0.0317341533847525	0.00763508101485977
1281	"NA_[1281_377.08_2.1]"	4.10024247188306	-0.0366510416766294	-0.0381909651027795
505	"NA_[505_229.16_1.1]"	4.09804914395374	-0.0359624151863802	0.00891888503534443
10974	"NA_[10974_265.25_9.3]"	4.09351326761079	-0.0351186167713482	-0.00822314347896827
95	"NA_[95_522.2_0.5]"	4.02910456062656	-0.0365786777363445	-0.00624614119434967
14229	"NA_[14229_696.54_11.5]"	4.0154378717471	-0.0356178005758826	-0.031387195683474
12255	"NA_[12255_284.29_10]"	3.93734277234134	-0.0355343041874513	-0.0261590921229609
2575	"NA_[2575_487.09_3]"	3.8990387982837	-0.034108331941774	-0.0359549894689364
13437	"NA_[13437_1343.93_10.8]"	3.86392458330536	-0.0283548713825887	-0.00256697368691564
12	"NA_[12_175.12_0.4]"	3.84308122063622	-0.0306424782936121	0.0145845544813612
170	"NA_[170_308.09_0.5]"	3.81262433900677	-0.0331778110630917	-0.00972496086066802
13680	"NA_[13680_795.5_11]"	3.79210686999212	-0.0317027742834693	0.025264869603027
11221	"heptadecane_[11221_270.28_9.5]"	3.78097645884203	-0.0288510173765468	-0.00890750865091081
14462	"NA_[14462_937.59_11.8]"	3.74081216188024	-0.0341455233090032	-0.0263147668171424
13417	"NA_[13417_607.39_10.8]"	3.72683903430439	-0.0327075191142533	-0.0176797169991118
14379	"NA_[14379_794.58_11.7]"	3.71177149569104	-0.0320501489671277	-0.0155243048694248
12719	"NA_[12719_629.27_10.3]"	3.69448973637082	-0.0329956730180831	-0.0369881486725994
13484	"NA_[13484_793.53_10.8]"	3.69314981959316	-0.0263881818161367	-0.0061451944917799
1010	"NA_[1010_188.07_1.9]"	3.69226904765692	-0.0323161432544033	-0.0298306316217367
9728	"NA_[9728_263.24_8.7]"	3.68053452762801	-0.0291947885073924	-0.00697405293234969
287	"NA_[287_241.15_0.7]"	3.6634756752124	-0.032739365049295	0.00203437082678301
14449	"NA_[14449_932.63_11.8]"	3.60813838240384	-0.0339127447783405	-0.0273220251189582
243	"NA_[243_437.97_0.6]"	3.44538442154821	-0.0318839975541956	0.00159172645091083
9727	"NA_[9727_184.99_8.7]"	3.42271491537185	-0.0261126319816982	-0.0146577390406253
1737	"NA_[1737_344.17_2.5]"	3.40240909406096	-0.0281983401042036	0.0386621835115056
1	"NA_[1_139.98_0.1]"	3.39023919813418	-0.0246558566673955	-0.00533451358870271
12733	"NA_[12733_645.25_10.3]"	3.38225795944818	-0.0301061978064522	-0.0279711947882908
3922	"NA_[3922_218.21_3.7]"	3.36948107222599	-0.0246799622047333	0.00191312587143447
12604	"NA_[12604_568.43_10.2]"	3.33723981444211	-0.0299644882994597	-0.02478905193105
1013	"NA_[1013_205.1_1.9]"	3.29383339332785	-0.0289030614457401	-0.0263119561981658
13553	"NA_[13553_568.43_10.9]"	3.28420348591684	-0.0293052537648947	-0.0181477306990597
14227	"NA_[14227_714.55_11.5]"	3.27130257794116	-0.029314650464291	-0.0273266675013354
6680	"NA_[6680_357.2_6.1]"	3.26324068939644	-0.0243044461390087	0.0431179964302306
9089	"NA_[9089_139.99_8.2]"	3.23087634543864	-0.0288133210453202	0.047825953054548
182	"NA_[182_321.96_0.5]"	3.22334501872785	-0.0280326147857441	-0.0446312222591859
9110	"NA_[9110_439.19_8.3]"	3.21976260849318	-0.0265221900080104	0.0424307507689109
7414	"NA_[7414_280.26_6.9]"	3.19825061903644	-0.0252689904878962	-0.0125207750403227
14165	"NA_[14165_163.1_11.4]"	3.19670123028584	-0.0264466073871222	-0.0112904771886768
14400	"NA_[14400_163.1_11.7]"	3.10147172641457	-0.0258806695572385	-0.0127678276372795
6378	"NA_[6378_357.2_5.9]"	3.0757989418505	-0.0245713337982905	0.038320962124715
2443	"NA_[2443_633.14_2.9]"	3.07423663014661	-0.0271310085198939	-0.0410367538011892
8973	"NA_[8973_364.29_8.2]"	3.051678359843	-0.0242056376748436	0.0342556081102703
8105	"NA_[8105_272.21_7.4]"	3.04598013171391	-0.0259215502605208	0.0390123679179119
14228	"NA_[14228_534.49_11.5]"	3.04513162677491	-0.0273854961130588	-0.0260067585989746
9949	"NA_[9949_280.26_8.8]"	3.03847226565557	-0.0236232600333509	0.000381168206504661
1735	"NA_[1735_372.2_2.5]"	3.03182232055978	-0.0247887367493569	0.0354988713963704
12731	"NA_[12731_607.29_10.3]"	3.02684967335975	-0.0265722483775077	-0.0125926644832647
12739	"NA_[12739_607.29_10.3]"	3.01074885985281	-0.0276691207656838	-0.0398353472133322
