"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1_139.98_0.1",1,139.982569535097,0.11041202,NA
"10_182.1_0.4",10,182.102695127276,0.39171758,"C6H12O5"
"100_232.09_0.5",100,232.092973736404,0.4548103,"C8H10N2O5"
"1000_266.14_1.9",1000,266.138612208408,1.888019,"C14H16O4"
"10000_387.26_8.8",10000,387.262317458542,8.844934,NA
"10001_849.46_8.8",10001,849.461778085544,8.8482065,"C46H64N4O11"
"10002_419.33_8.9",10002,419.331585169684,8.851813,"C30H44O2"
"10003_518.42_8.9",10003,518.421071588526,8.851813,"C32H52O4"
"10004_495.34_8.9",10004,495.342614708595,8.852025,"C27H48N2O7"
"10005_518.42_8.9",10005,518.418276991615,8.852025,"C32H52O4"
"10006_495.35_8.9",10006,495.345170666884,8.852784,"C32H48O5"
"10007_273.26_8.9",10007,273.264497226536,8.852897,NA
"10008_299.2_8.9",10008,299.202333627533,8.853249,"C20H28O3"
"10009_441.37_8.9",10009,441.373531274064,8.853857,"C30H50O3"
"1001_211.1_1.9",1001,211.096656889197,1.8893619,"C11H16O5"
"10010_484.35_8.9",10010,484.346052000809,8.855002,"C24H44F2O6"
"10011_443.32_8.9",10011,443.316153932928,8.855028,"C28H44O5"
"10012_184.99_8.9",10012,184.986318259439,8.855341,NA
"10013_467.32_8.9",10013,467.319328217078,8.855698,"C24H44F2O6"
"10014_512.38_8.9",10014,512.377154962532,8.855698,"C33H47N5O"
"10015_521.33_8.9",10015,521.32724388254,8.855698,NA
"10016_481.33_8.9",10016,481.334476860665,8.856394,"C28H50O5S"
"10017_268.27_8.9",10017,268.268201412415,8.857419,NA
"10018_627.34_8.9",10018,627.335605974257,8.859653,"C30H52O12"
"10019_840.46_8.9",10019,840.45935671808,8.859826,"C35H59N15O8"
"1002_144.08_1.9",1002,144.080952791779,1.8894235,"C10H11NO"
"10020_845.41_8.9",10020,845.414345398956,8.859826,"C39H66O18"
"10021_840.45_8.9",10021,840.454667333768,8.859962,"C46H62O13"
"10022_845.41_8.9",10022,845.409802206874,8.859962,"C48H62O14"
"10024_451.33_8.9",10024,451.332085059418,8.860857,"C20H43N3O5Si"
"10025_268.26_8.9",10025,268.264593402074,8.862963,"C17H30O"
"10026_645.36_8.9",10026,645.361988507105,8.862937,"C34H54O10"
"10027_268.26_8.9",10027,268.263924672112,8.864357,"C17H30O"
"10028_268.26_8.9",10028,268.26347381959,8.864824,"C17H30O"
"10029_625.35_8.9",10029,625.354003879805,8.8679085,"C33H50N6O5S"
"1003_136.11_1.9",1003,136.112286924281,1.8919997,"C9H13N"
"10030_187.15_8.9",10030,187.148443596613,8.868586,"C14H20O"
"10031_231.21_8.9",10031,231.211138433212,8.868586,"C17H28O"
"10032_297.26_8.9",10032,297.258175375393,8.868586,"C22H34O"
"10033_465.37_8.9",10033,465.373817912676,8.868586,"C32H50O3"
"10034_483.38_8.9",10034,483.38431114317,8.868586,"C32H50O3"
"10035_541.39_8.9",10035,541.386939996802,8.868586,"C34H54O6"
"10036_1019.79_8.9",10036,1019.79297655954,8.868586,NA
"10037_1037.8_8.9",10037,1037.80165651922,8.868586,NA
"10038_1059.79_8.9",10038,1059.78500651793,8.868586,NA
"10039_1579.19_8.9",10039,1579.18777499788,8.868586,NA
"1004_326.14_1.9",1004,326.144945797711,1.8923411,"C12H20O9"
"10040_437.34_8.9",10040,437.341298225197,8.868703,"C30H46O3"
"10041_144.99_8.9",10041,144.985858569703,8.8688135,"C4H3FN2O2S"
"10042_425.38_8.9",10042,425.379260056815,8.869304,"C30H48O"
"10043_407.37_8.9",10043,407.368776998413,8.86945,"C30H48O"
"10044_603.35_8.9",10044,603.350541974369,8.870827,"C32H52O9"
"10045_665.39_8.9",10045,665.387704975447,8.870827,"C34H58O11"
"10046_499.4_8.9",10046,499.400023866162,8.872977,"C29H54O6"
"10047_539.39_8.9",10047,539.392588503413,8.872977,NA
"10048_555.37_8.9",10048,555.365939413554,8.8732815,"C34H52O7"
"10049_1008.67_8.9",10049,1008.67480431963,8.87359,"C50H86N8O12"
"1005_261.14_1.9",1005,261.144641888149,1.8930708,"C11H17NO5"
"10050_144.98_8.9",10050,144.984737877846,8.873716,NA
"10051_335.15_8.9",10051,335.153666998573,8.87426,"C16H25FN2O2"
"10052_782.57_8.9",10052,782.570788032164,8.874968,"C42H82NO8P"
"10053_125.1_8.9",10053,125.096329759299,8.875364,"C8H14O2"
"10054_159.12_8.9",10054,159.116999854546,8.875364,"C12H16O"
"10055_163.11_8.9",10055,163.111884171239,8.875364,"C11H16O2"
"10056_205.16_8.9",10056,205.158873625059,8.875364,"C14H22O2"
"10057_213.16_8.9",10057,213.163886509469,8.875364,"C16H22O"
"10058_231.17_8.9",10058,231.174573633825,8.875364,"C16H24O2"
"10059_281.23_8.9",10059,281.226571745959,8.875364,"C21H30O"
"1006_726.22_1.9",1006,726.223973230444,1.8938924,"C36H37N3O12"
"10060_299.24_8.9",10060,299.237208404779,8.875364,"C21H32O2"
"10061_351.27_8.9",10061,351.268337474653,8.875364,"C25H34O"
"10062_369.28_8.9",10062,369.279399702089,8.875364,"C25H38O3"
"10063_395.33_8.9",10063,395.331063876825,8.875364,"C28H42O"
"10064_413.34_8.9",10064,413.341616612684,8.875364,"C28H44O2"
"10065_515.37_8.9",10065,515.373487077625,8.875364,"C32H52O6"
"10066_780.56_8.9",10066,780.556331151311,8.875349,"C42H80NO8P"
"10067_635.31_8.9",10067,635.309711373261,8.875364,"C34H48N2O7"
"10068_1087.74_8.9",10068,1087.74283546542,8.875364,"C64H104O12"
"10069_455.35_8.9",10069,455.352580862294,8.8759775,"C30H46O3"
"1007_701.18_1.9",1007,701.182963407967,1.8939164,"C29H33NO16S"
"10070_425.38_8.9",10070,425.377040761952,8.876905,"C30H48O"
"10071_143.11_8.9",10071,143.106805486622,8.877043,"C8H14O2"
"10072_473.36_8.9",10072,473.362934172092,8.877043,"C30H48O4"
"10073_533.38_8.9",10073,533.383783262982,8.877043,"C32H52O6"
"10074_589.33_8.9",10074,589.334536977482,8.87872,"C33H50O10"
"10075_499.34_8.9",10075,499.344202607694,8.8803005,"C31H46O5"
"10076_1065.76_8.9",10076,1065.76116811178,8.883226,NA
"10077_146.98_8.9",10077,146.981691700035,8.886078,NA
"10078_743.46_8.9",10078,743.461779547504,8.889673,"C38H59FN8O6"
"10079_419.33_8.9",10079,419.330696492359,8.891531,"C30H44O2"
"1008_181.05_1.9",1008,181.049680700984,1.8942868,"C9H8O4"
"10080_585.36_8.9",10080,585.357495773851,8.891683,"C38H50O6"
"10081_601.33_8.9",10081,601.332035932188,8.891683,"C32H50O9"
"10082_273.22_8.9",10082,273.222087125975,8.89175,"C19H30O2"
"10083_585.36_8.9",10083,585.360933741751,8.891759,"C27H50N6O9"
"10084_443.35_8.9",10084,443.353633536459,8.892344,"C29H46O3"
"10085_425.31_8.9",10085,425.30589522928,8.892917,"C28H42O4"
"10086_889.48_8.9",10086,889.477563995054,8.894394,"C42H74O18"
"10087_794.47_8.9",10087,794.471579280919,8.895103,"C42H69NO14"
"10088_799.43_8.9",10088,799.427008953127,8.895103,"C42H64O13"
"10089_822.5_8.9",10089,822.503170106194,8.895103,"C44H71NO13"
"1009_497.09_1.9",1009,497.092487075021,1.8953825,"C21H20O14"
"10090_757.43_8.9",10090,757.428972800781,8.897402,"C41H66O10"
